"id","condition","random_BIC","level1_1_theta","level1_1_BIC","level1_3_theta1","level1_3_theta2","level1_3_theta3","level1_3_BIC","level2_1_theta","level2_1_BIC","level2_3_theta1","level2_3_theta2","level2_3_theta3","level2_3_BIC","level3_1_theta","level3_1_BIC","level3_3_theta1","level3_3_theta2","level3_3_theta3","level3_3_BIC","WSLS_1_theta","WSLS_1_BIC","WSLS_3_theta1","WSLS_3_theta2","WSLS_3_theta3","WSLS_3_BIC"
"2rceYs3ijHQUGaHWAAAE","Level1",380.666248977032,6.61069613518961e-05,385.689048922163,5.62404099165032e-20,3.9946042146009e-19,8.44063177119423e-24,395.698154859321,0.734885754737816,202.815751876153,0.357209056143717,0.908178410081086,0.897985915207231,184.211762706284,0.592480565911972,267.373660029822,0.296061823284202,0.724499526405823,0.719400705725378,264.175899078484,6.61069613518961e-05,385.69142869412,4.47745712723465e-39,9.28163137721771e-18,1.76308231527716e-17,395.698154859321
"nwR4WarcStlliwI7AAA-","Level2",380.666248977032,6.61069613518961e-05,385.679926594071,2.97547715281952e-06,0.0814595660577832,8.97677749757202e-08,395.060895225042,0.169491968445062,375.289570693257,0.41853129738621,2.51197993350813e-07,0.183805633269621,374.071579876143,0.145023284167322,377.556643621455,0.265268398470539,4.56368946297372e-07,0.26011280744227,378.159342820738,6.61069613518961e-05,385.686933656696,1.05952370968675e-32,2.94021774222742e-18,2.1935028333891e-26,395.698154859321
"2H3e6jXSDoRUUpIeAAAG","Level2",380.666248977032,6.61069613518961e-05,385.686801534526,1.08894964268269e-86,3.30207230296396e-36,2.95046080179843e-19,395.698154859321,6.61069613518961e-05,385.685611517473,8.47739103662099e-15,1.18475288227482e-18,1.47751276662374e-20,395.698154859321,0.0434590130583575,385.038832763739,0.0814433776835192,0.265272115377028,3.43671196278044e-08,388.575925695749,0.192843732885991,371.041626351318,3.67580579287703e-07,0.0509827263171193,0.413330437616313,369.23633691739
"NdP4BC2S2NeOQ4WqAABa","Level2",380.666248977032,6.61069613518961e-05,385.689577935142,1.32497778064628e-16,1.13764790575615e-20,3.23669184444745e-20,395.698154859321,0.435577673979358,331.879911132715,0.908241408357584,0.72451936733278,8.14191651910134e-08,266.31538246339,0.489006651978068,316.769655448451,0.816399537871262,0.877691179592909,7.49269813558569e-06,258.375707441674,6.61069613518961e-05,385.679133992127,1.21129236021082e-06,4.99319179176978e-07,0.260107610647662,384.644374320962
"8z6u62nisLvOgfsbAACC","Level1",380.666248977032,6.61069613518961e-05,385.682042252763,1.10689746330437e-06,1.39255581712665e-06,0.0561789093254274,395.111853475301,0.285717053157974,360.748329075795,0.449197790877614,0.571387715865111,2.08845257047497e-06,347.799806118556,0.127946024092306,380.673084241083,0.26542029252281,0.449038776008258,5.55544758320198e-08,370.940327500994,6.61069613518961e-05,385.693676212832,4.48233109852802e-47,1.3093279602425e-16,1.81716050556048e-18,395.698154859321
"PC0tz873AYJDuBl-AABk","Level1",380.666248977032,6.61069613518961e-05,385.688784415674,4.30658956514028e-15,1.40607783240274e-16,2.92619846723482e-32,395.698154859321,0.689678225284109,222.288063695152,0.601996512967014,0.448890566147007,0.948962097579863,209.011602244414,0.585612640157747,268.114931650383,0.510223107488109,0.387827617331557,0.795943132326437,266.518944548844,6.61069613518961e-05,385.69156081629,5.28112850135286e-17,4.02337077758712e-39,1.07210906783934e-26,395.698154859321
"tiYbLbPVLMnsq9hUAAAC","Level1",380.666248977032,6.61069613518961e-05,385.679927118371,7.8685512709681e-07,1.60828891963198e-07,0.183572739144218,389.958164217708,0.401782835260431,338.081108899329,0.510151090469683,0.877540657672921,8.17108254445169e-07,297.710501641961,0.326253907045481,354.898768566387,0.540503348728263,0.754910649547853,4.5039025760785e-07,316.233736668464,6.61069613518961e-05,385.689313297578,2.16226204579146e-27,1.47537409858698e-23,3.93942044723273e-15,395.698154859321
"EHmRs5tGqI6y_ZBYAAAM","Level2",380.666248977032,6.61069613518961e-05,385.685743770718,2.16226204579123e-27,3.93942044723293e-15,1.47537409858698e-23,395.698154859321,0.3128832708593,353.370917239655,0.142759375451141,0.632812577569266,0.209231420975538,349.962757448321,0.232382139869058,366.923034393683,1.82695070958944e-07,0.693849327213637,0.209080726776407,344.14911584066,6.61069613518961e-05,385.689709926237,4.02337077758712e-39,5.28112850135286e-17,1.07210906783934e-26,395.698154859321
"tWiP-HttMqVnssTJAABW","Level1",380.666248977032,0.0614832591655926,384.254685048826,5.21409424428915e-08,0.234711496451766,0.0561471933476344,390.013096274862,0.108485148017139,381.200914459471,0.0816169324561381,0.0512480727403228,0.1582319586328,390.486335681652,6.1823506861971e-05,385.677504031103,3.82870108679455e-05,8.17600206885622e-08,0.0305130820960879,395.519836082959,6.61069613518961e-05,385.685215019889,1.3093279602425e-16,4.48233109852802e-47,1.81716050556048e-18,395.698154859321
"IFLGp4SWYD1rUTXOAAAW","Level1",380.666248977032,6.61069613518961e-05,385.687726914015,3.88162884796946e-21,1.39088057609381e-18,1.18888029575589e-19,395.698154859321,0.467784310479171,315.402657472812,0.173564440228042,0.93876295537098,0.336717164854886,286.808966773893,0.313031268549009,351.837052223767,4.93213211193902e-08,0.877669252645122,0.336712461729854,303.394771812906,6.61069613518961e-05,385.692354204684,1.81716050555956e-18,1.30932796024229e-16,4.48233109852789e-47,395.698154859321
