"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","eps_transfer","eps_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda","MBM_BIC","MBM_beta","MBM_alpha"
"2rceYs3ijHQUGaHWAAAE","Level1",380.666248977032,190.723331531194,201.020282218598,0.028094124328275,0.255124765887792,0.155520916632931,0.225093278349732,390.687519565225,8.44036133420425,0,216.063764958428,0.32500022235661,0.498423115864168,400.720625014867,380.678083838482,1.03814213941044,0.999979298363697,0.999998124068156,0.0100004091776654,380.666248977032,385.676884271128,1.83596479208339e-16,230.104789040968,4.00814155948314,223.115986072027,0.572281702758185,0.392436748168737
"nwR4WarcStlliwI7AAA-","Level2",380.666248977032,378.078177633382,375.970036422335,0.01,0.0135920511701926,0.758384386031773,0.700023209227228,388.298151523408,3.59762867651804,0.751314078094532,366.922808280066,1.09685037332557,0.708098356254107,397.710612465315,377.66807128893,1.06750092251139,0.763387226291899,0.999999999965557,1.39865496387863,380.198786366378,385.209421660475,0.339759315840124,385.422355028821,0.114718577344388,361.722007575228,1.24067292013943,0.0129071162082255
"2H3e6jXSDoRUUpIeAAAG","Level2",380.666248977032,389.958919068797,390.163514836462,0.99,0.811981076933866,0.953343991202371,0.959887106589508,390.687519565225,7.72002976406811,0,366.082918850685,0.676340474811209,0.373420858644993,400.735639401761,380.693098225376,0.0100000112673591,0.0100000134378638,0.999999999862489,0.0100000000234995,380.666248977032,385.676884271128,5.73350196138636e-16,378.85876550208,0.810759175138728,367.29566535927,1.15351323173703,0.239404390410572
"NdP4BC2S2NeOQ4WqAABa","Level2",380.666248977032,317.347130779707,315.17335546125,0.122093460746258,0.208609901067983,0.478737150216011,0.472520945919833,382.427871671088,0.0379579614101961,0.00379579614101962,214.752837500961,0.160405686546104,0.270516310891498,374.908148311088,354.865607134703,1.058428170078,0.0100004495448906,0.0520944997468562,0.121661559919536,380.666248977032,385.676884271128,2.09162412554955e-16,279.456561976074,2.65287170827146,222.950443808877,0.508616093617966,0.0209796160837629
"8z6u62nisLvOgfsbAACC","Level1",380.666248977032,364.710377786857,362.574006227304,0.435236130269511,0.268523690360597,0.705901715942287,0.686211374194377,390.687519565225,4.57719581052152,0,321.268355385126,0.414240143607171,0.317483796848909,400.708577596302,380.666036419917,0.664495262643824,0.999999999943056,0.999999999993749,0.0131233036244911,380.666248977032,385.676884271128,9.24706562366136e-16,334.552511988375,2.10126299001415,328.795774767184,0.959451878003047,0.683327431277504
"PC0tz873AYJDuBl-AABk","Level1",380.666248977032,217.75388057199,219.546420457664,0.0156957129479052,0.0414265746926002,0.189565532877107,0.185225593568308,390.687519565225,7.89926949590355,0,182.624524492386,0.299485477601851,0.524605691014114,400.716669049704,380.674127873319,0.0100000006189851,0.9999999998692,0.482022619112088,0.0100000003690545,380.666248977032,385.676884271128,3.14452328153535e-16,207.298802346038,3.93960482227703,191.720863547439,0.453045401104542,0.211388001684394
"tiYbLbPVLMnsq9hUAAAC","Level1",380.666248977032,334.687964029743,332.783045996522,0.105310443772096,0.99,0.54085619200354,0.549700917724606,390.687519565225,5.13160906614963,0,272.973726939598,0.403684896888445,0.446490485823788,397.087780908086,377.045239731701,0.0100000003975605,0.99999999952612,0.791952283615204,0.875669737125328,380.666248977032,385.676884271128,7.97141889693651e-16,308.536052206251,2.4326827536867,273.956379466018,0.651841067385181,0.799977900396347
"EHmRs5tGqI6y_ZBYAAAM","Level2",380.666248977032,357.275633692905,359.839403674058,0.01,0.0138187845472614,0.584154844184053,0.550051285496336,390.687519565225,4.66482050466738,0,317.310064378118,0.153998462034859,0.143439732278156,398.155077600859,378.112536424474,1.09672961699905,0.0102315042405166,0.681964152606098,0.0194798316342517,380.666248977032,385.676884271128,5.90442550939651e-16,354.014178880992,1.55143913635781,339.186574360366,0.959666000704213,0.319318835623562
"tWiP-HttMqVnssTJAABW","Level1",380.666248977032,385.267618824218,383.757154760928,0.0595651750781531,0.0319956605359519,0.873927640402781,0.825809135918583,390.687519565225,5.70567783273168,0,371.819922716789,1.54260277305502,0.998039602951107,395.446998699116,375.404457522731,0.44164658916682,0.999999999995517,0.865871462626274,1.36335914925372,377.008893067924,382.01952836202,0.726041369421924,377.373494897805,0.85149520419644,372.337888428331,1.55095881529909,0.235792718001792
"IFLGp4SWYD1rUTXOAAAW","Level1",380.666248977032,319.247567115044,313.798233428555,0.0196159270999334,0.544208052915537,0.462920929697481,0.498059981216339,390.687519565225,5.36412670720185,0,274.584936949543,0.289552431293136,0.240509835291749,400.711893827195,380.66935265081,0.0100000142394878,0.999999997475226,0.999999999644856,0.010000000965419,380.666248977032,385.676884271128,2.84769339698531e-16,312.671407116325,2.21623077397804,275.83381061798,0.705985055628618,0.793833993815896
"G1UYl_ZdFvPn_auuAAA0","Level1",380.666248977032,249.054616982422,250.68745069122,0.0131230747584672,0.0307720092516455,0.24603572953702,0.234156075618026,390.687519565225,4.86638306989083,0,249.494296895835,0.133414643101193,0.112976348581347,400.026828558719,379.984287382333,1.16005231080718,0.99998923266857,0.999999531895512,0.0100001573396632,380.666248977032,385.676884271128,3.83168655248874e-16,271.106357919179,3.01261449989258,278.616048853557,0.673808605307106,0.62681317432841
"cpNjZm4TSPEFe4-IAABs","Level1",380.666248977032,386.415240755862,387.232600322035,0.0227072942838368,0.99,0.884681414628831,0.905537893924152,390.471942425326,0.00276263847947406,6.93738049840075e-05,370.216764188712,0.800477692298666,0.409665713053661,399.626733112436,379.584191936051,1.10882461288587,0.0100011694085843,0.999966473016942,0.0924117703463646,380.666248977032,385.676884271128,4.54448075461669e-16,383.22198171318,0.406257019211934,366.814403780856,1.39298427163899,0.382436725979606
