"id","condition","BIC_transfer","BIC_no_transfer","theta_transfer","theta_no_transfer","eps_transfer","eps_no_transfer"
"7uLGzocWjI2W7oj0AAAq","Level1",326.469343531555,325.383426749538,0.0866616999900794,0.0823395018411847,0.523579772950989,0.497982944205599
"2rceYs3ijHQUGaHWAAAE","Level1",190.723331531194,201.020282218598,0.028094124328275,0.255124765887792,0.155520916632931,0.225093278349732
"nwR4WarcStlliwI7AAA-","Level2",378.078177633382,375.970036422335,0.01,0.0135920511701926,0.758384386031773,0.700023209227228
"2H3e6jXSDoRUUpIeAAAG","Level2",389.958919068797,390.163514836462,0.99,0.811981076933866,0.953343991202371,0.959887106589508
"NdP4BC2S2NeOQ4WqAABa","Level2",317.347130779707,315.17335546125,0.122093460746258,0.208609901067983,0.478737150216011,0.472520945919833
"8z6u62nisLvOgfsbAACC","Level1",364.710377786857,362.574006227304,0.435236130269511,0.268523690360597,0.705901715942287,0.686211374194377
"PC0tz873AYJDuBl-AABk","Level1",217.75388057199,219.546420457664,0.0156957129479052,0.0414265746926002,0.189565532877107,0.185225593568308
"tiYbLbPVLMnsq9hUAAAC","Level1",334.687964029743,332.783045996522,0.105310443772096,0.99,0.54085619200354,0.549700917724606
"EHmRs5tGqI6y_ZBYAAAM","Level2",357.275633692905,359.839403674058,0.01,0.0138187845472614,0.584154844184053,0.550051285496336
"tWiP-HttMqVnssTJAABW","Level1",385.267618824218,383.757154760928,0.0595651750781531,0.0319956605359519,0.873927640402781,0.825809135918583
"IFLGp4SWYD1rUTXOAAAW","Level1",319.247567115044,313.798233428555,0.0196159270999334,0.544208052915537,0.462920929697481,0.498059981216339
"G1UYl_ZdFvPn_auuAAA0","Level1",249.054616982422,250.68745069122,0.0131230747584672,0.0307720092516455,0.24603572953702,0.234156075618026
"cpNjZm4TSPEFe4-IAABs","Level1",386.415240755862,387.232600322035,0.0227072942838368,0.99,0.884681414628831,0.905537893924152
"wsI-VTgA8Q7jaUGqAAAQ","Level1",348.982391840514,344.992830609583,0.195332706219081,0.0479590522511924,0.624434667278331,0.55588426047432
"2Icz3DkcGwi230swAABw","Level2",387.602007737243,387.517534593542,0.0279567751244741,0.0517228860254472,0.898776089188046,0.891555756353012
"0n-ueZ_Y59EpoZdSAAAe","Level1",186.894169250922,193.814479614935,0.0399988492163654,0.0509648454087685,0.171850669230524,0.15240217079701
"DuD-LPjDw4N2S-63AAB6","Level1",289.936259103322,291.732427090355,0.0260382558624741,0.0318014195817177,0.376055570178546,0.33735685234767
"rZNY1f0WR1tWMQF4AABm","Level2",383.324783834432,382.625681614285,0.255666575510463,0.0572281293694088,0.844863658660099,0.809346531396007
"FXzVIP95gQOHYZ25AAAw","Level1",218.875340568517,214.15091101556,0.0606157281963962,0.101097436721503,0.23471386030338,0.213075065203234
"OKTUZhRu5vEV8REOAABU","Level2",153.515288845969,140.732313314351,0.0805714372905056,0.140539945990653,0.138821628360871,0.106557773339246
